video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=dFMMssyRsWo,/c/TheEconomist,The Economist,Climate change technology: is shading the earth too risky? | The Economist,8.7K,8.7K views,,2022-04-21 18:34:16.076320
/watch?v=G4H1N_yXBiA,/c/NatGeo,National Geographic,Causes and Effects of Climate Change | National Geographic,3.4M,3.4M views,,2022-04-21 18:34:16.082248
/watch?v=LxgMdjyw8uw,/c/inanutshell,Kurzgesagt – In a Nutshell,We WILL Fix Climate Change!,5.9M,5.9M views,,2022-04-21 18:34:16.088056
/watch?v=ux7MfEbwJXk,/c/SciShow,SciShow,The Climate Crisis Is Changing the Circle of Life,80K,80K views,,2022-04-21 18:34:16.094229
/watch?v=-Vm_gabtIA8,/c/CNBC,CNBC,Where Americans Can Move To Avoid Climate Change,8.2K,8.2K views,,2022-04-21 18:34:16.100375
/watch?v=cet5TTcCY8Y,/c/gmanews,GMA News,What will happen if we fail to meet the 2030 climate change deadline? | Need to Know,665K,665K views,,2022-04-21 18:34:16.106125
/watch?v=ffCcpr4i1cw,/channel/UCzkgWnYL4NFl7MOsaHNhs5g,Jordan Peterson Notes,Jordan Peterson Criticizes Climate Change Types,205K,205K views,,2022-04-21 18:34:22.433999
/watch?v=dcBXmj1nMTQ,/c/aljazeeraenglish,Al Jazeera English,What is Climate Change? | Start Here,801K,801K views,,2022-04-21 18:34:22.440897
/watch?v=vBjabNusoKM,/c/BBCNews,BBC News,UN scientists say it's 'now or never' to limit global warming - BBC News,164K,164K views,,2022-04-21 18:34:22.447878
/watch?v=yiw6_JakZFc,/c/inanutshell,Kurzgesagt – In a Nutshell,Can YOU Fix Climate Change?,11M,11M views,,2022-04-21 18:34:22.454706
/watch?v=QK7g6pgaC7I,/c/DWPlanetA,DW Planet A,Why it's hard to care about climate change,75K,75K views,,2022-04-21 18:34:22.461310
/watch?v=uynhvHZUOOo,/c/TheEconomist,The Economist,See what three degrees of global warming looks like | The Economist,1.5M,1.5M views,,2022-04-21 18:34:22.468489
/watch?v=tcj9IGY6Etg,/c/pbsterra,PBS Terra,THIS Is the Safest Place to Live as the Climate Changes,312K,312K views,,2022-04-21 18:34:22.474741
/watch?v=tMwFNMfjFuU,/c/crashcourse,CrashCourse,What is Climate Change? Crash Course Geography #14,133K,133K views,,2022-04-21 18:34:22.481754
/watch?v=icXNWOHsU1Q,/c/DWDocumentary,DW Documentary,A threat to human rights - The legal battle to stop climate change | DW Documentary,49K,49K views,,2022-04-21 18:34:22.488812
/watch?v=dIsjcG7hTmo,/c/bbcearth,BBC Earth,When The World Gets 1℃ Hotter | Climate Change: The Facts | BBC Earth,221K,221K views,,2022-04-21 18:34:22.495986
/watch?v=EtW2rrLHs08,/c/NatGeo,National Geographic,Climate Change 101 with Bill Nye | National Geographic,2.4M,2.4M views,,2022-04-21 18:34:22.502283
/watch?v=febBRv2Vftk,/c/bbcearth,BBC Earth,The Tipping Point | Climate Change: The Facts | BBC Earth,171K,171K views,,2022-04-21 18:34:22.509190
/watch?v=ifrHogDujXw,/c/TheDailyConversation,TDC,Climate Change Explained Simply,1.4M,1.4M views,,2022-04-21 18:34:22.515569
/watch?v=-D_Np-3dVBQ,/user/MattMiltonberger,Matt Miltonberger,Climate Change - We are the PROBLEM & the SOLUTION (Animated Infographic),798K,798K views,,2022-04-21 18:34:22.521346
/watch?v=jAa58N4Jlos,/channel/UCT90nd90McLzkJ00ha3dTQg,DJI Captures,Climate Change - A Short Film [4K],398K,398K views,,2022-04-21 18:34:29.263133
/watch?v=vn9Vl0G53lA,/c/OurChangingClimate,Our Changing Climate,Why Electric Cars Won't Save Us,82K,82K views,,2022-04-21 18:34:29.270466
/watch?v=MtuhOztNOtI,/c/SimonOxfPhys,Simon Clark,How to sue climate change (and win!),18K,18K views,,2022-04-21 18:34:29.278014
/watch?v=mYa0B8xv7r0,/c/ScienceTalkwithJimMassa,Science Talk with Jim Massa,"IPCC Report - Wetter, Drier Conditions, Rich Nations all Affected by Climate Change",72,72 views,,2022-04-21 18:34:29.284029
/watch?v=sLFqVCOQQRM,/c/CBSMornings,CBS Mornings,Experimental forest shows impacts of climate change scenarios,3K,3K views,,2022-04-21 18:34:29.290683
/watch?v=nS2aanEKM-M,/c/nowthisnews,NowThis News,Is Dark Money Threatening the Fight Against Climate Change?,327,327 views,,2022-04-21 18:34:29.297255
